"source page","source page title","aetiology_short","aetiology_long","comment","Signature","SignatureVersion","IdentificationStudy","IdentificationStudyURL","ExperimentalValidationStudy","ExperimentalValidationURL","ProposedAetiologySupport","ValidatedInOrthogonalTechniques"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs36/","COSMIC | SBS36 - Mutational Signatures"," BER deficiency","Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somatic MUTYH mutations.","Similar to SBS18, which has been proposed to be due to reactive oxygen species induced DNA damage.","SBS36 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Viel et al. 2017 EBioMedicine / Pilati et al. 2017 Journal of Pathology","https://doi.org/10.1016/j.ebiom.2017.04.022","Pilati et al. 2017 Journal of Pathology","https://doi.org/10.1002/path.4880"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs37/","COSMIC | SBS37 - Mutational Signatures"," Unknown","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS37 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs38/","COSMIC | SBS38 - Mutational Signatures"," UV light exposure (indirect effect)","Unknown. Found only in ultraviolet light associated melanomas suggesting potential indirect damage from UV-light.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS38 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Co-occurrence with SBS7a/b"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs39/","COSMIC | SBS39 - Mutational Signatures"," Unknown","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS39 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs40/","COSMIC | SBS40 - Mutational Signatures"," Unknown","Unknown.","Numbers of mutations attributed to SBS40 are correlated with patients’ ages for some types of human cancer.","SBS40 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs41/","COSMIC | SBS41 - Mutational Signatures"," Unknown","Unknown.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS41 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs42/","COSMIC | SBS42 - Mutational Signatures"," Haloalkanes exposure","Occupational exposure to haloalkanes.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS42 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Mimaki et al. 2016 Carcinogenesis","https://doi.org/10.1093/carcin/bgw066","Mimaki et al. 2016 Carcinogenesis","https://doi.org/10.1093/carcin/bgw066"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs44/","COSMIC | SBS44 - Mutational Signatures"," MMR deficiency","Defective DNA mismatch repair.","SBS44 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS26.","SBS44 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Drost et al. 2017 Science","https://doi.org/10.1126/science.aao3130","Drost et al. 2017 Science","https://doi.org/10.1126/science.aao3130"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs84/","COSMIC | SBS84 - Mutational Signatures"," AID activity","Activity of activation-induced cytidine deaminase (AID).","SBS84 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers.","SBS84 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Kasar et al. 2015 Nature Communications","https://doi.org/10.1038/ncomms9866","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs85/","COSMIC | SBS85 - Mutational Signatures"," AID activity","Indirect effects of activation-induced cytidine deaminase (AID) induced somatic mutagenesis in lymphoid cells.","SBS85 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers.","SBS85 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Kasar et al. 2015 Nature Communications","https://doi.org/10.1038/ncomms9866","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs86/","COSMIC | SBS86 - Mutational Signatures"," Unknown chemotherapy","Unknown chemotherapy treatment.","Mainly characterized by most C>G trinucleotide contexts except those flanked 3' by G. Enriched in hyperdiploid acute lymphoblastic leukaemia (ALL) cases.","SBS86 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Li et al. 2020 Blood","https://doi.org/10.1182/blood.2019002220","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs87/","COSMIC | SBS87 - Mutational Signatures"," Thiopurine chemotherapy","Thiopurine chemotherapy treatment, experimentally validated.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","SBS87 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Li et al. 2020 Blood","https://doi.org/10.1182/blood.2019002220","Li et al. 2020 Blood","https://doi.org/10.1182/blood.2019002220"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs88/","COSMIC | SBS88 - Mutational Signatures"," Colibactin exposure","Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin.","SBS88 appears to be most active in the first decade of life. Strong preference for adenines at positions -3 and -4 (i.e. 5' of the mutation).","SBS88 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Lee-Six et al. 2019 Nature / Pleguezuelos-Manzano et al. 2020 Nature / Boot et al. 2020 Genome Research","https://doi.org/10.1038/s41586-019-1672-7","Pleguezuelos-Manzano et al. 2020 Nature","https://doi.org/10.1038/s41586-020-2080-8"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs89/","COSMIC | SBS89 - Mutational Signatures"," Unknown","Unknown.","SBS89 appears to be most active in the first decade of life.","SBS89 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Lee-Six et al. 2019 Nature","https://doi.org/10.1038/s41586-019-1672-7","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs90/","COSMIC | SBS90 - Mutational Signatures"," Duocarmycin exposure","Duocarmycin exposure.","Very strong sequence context enrichment, with a preference for thymines up to 4bp 3’ of mutated thymines.","SBS90 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Boot et al. 2020 Genome Research / Priestley et al. 2019 Nature","https://doi.org/10.1101/gr.255620.119","Boot et al. 2019 BioRxiv","https://doi.org/10.1101/368753"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs91/","COSMIC | SBS91 - Mutational Signatures"," Unknown","Unknown.","Distinctive extended sequence context. Enrichment in ALU elements.","SBS91 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Robinson et al. 2021 Nature Genetics","https://doi.org/10.1038/s41588-021-00930-y","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs92/","COSMIC | SBS92 - Mutational Signatures"," Tobacco smoking","Associated with tobacco smoking.","SBS92 activity was found increased in bladder tumours, as well as in normal urothelium of tobacco ever smokers compared to never smokers.","SBS92 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Lawson et al. 2020 Science","https://doi.org/10.1126/science.aba8347","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs93/","COSMIC | SBS93 - Mutational Signatures"," Unknown","Unknown.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","SBS93 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Islam et al. 2022 Cell Genomics","https://doi.org/10.1016/j.xgen.2022.100179","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs94/","COSMIC | SBS94 - Mutational Signatures"," Unknown","Unknown.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","SBS94 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Islam et al. 2022 Cell Genomics","https://doi.org/10.1016/j.xgen.2022.100179","",""," Unknown"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs27/","COSMIC | SBS27 - Mutational Signatures"," Sequencing artifact","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS27 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature","https://doi.org/10.1038/ng.3441","",""," Visual validation of mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs43/","COSMIC | SBS43 - Mutational Signatures"," Possible sequencing artifact","Unknown. Possible sequencing artefact.","Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.","SBS43 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unable to validate mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs45/","COSMIC | SBS45 - Mutational Signatures"," 8-oxo-guanine introduced during sequencing","Possible artefact due to 8-oxo-guanine introduced during sequencing.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS45 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","Costello et al. 2013, Nucleic Acid Research","https://doi.org/10.1093/nar/gks1443"," Experimental confirmation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs46/","COSMIC | SBS46 - Mutational Signatures"," Sequencing artifact (early releases of TCGA)","Possible sequencing artefact.","Signature SBS46 was found commonly in colorectal cancers from early releases of TCGA (data released prior 2013).","SBS46 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Not found in subsequence releases"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs47/","COSMIC | SBS47 - Mutational Signatures"," Sequencing artifact (blacklisted cancer samples for poor quality)","Possible sequencing artefact.","SBS47 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.","SBS47 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs48/","COSMIC | SBS48 - Mutational Signatures"," Sequencing artifact (blacklisted cancer samples for poor quality)","Possible sequencing artefact.","SBS48 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.","SBS48 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs49/","COSMIC | SBS49 - Mutational Signatures"," Sequencing artifact (blacklisted cancer samples for poor quality)","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS49 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs50/","COSMIC | SBS50 - Mutational Signatures"," Sequencing artifact (blacklisted cancer samples for poor quality)","Possible sequencing artefact.","SBS50 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.","SBS50 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs51/","COSMIC | SBS51 - Mutational Signatures"," Possible sequencing artifact","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS51 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unable to validate mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs52/","COSMIC | SBS52 - Mutational Signatures"," Sequencing artifact (blacklisted cancer samples for poor quality)","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS52 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs53/","COSMIC | SBS53 - Mutational Signatures"," Sequencing artifact (blacklisted cancer samples for poor quality)","Possible sequencing artefact.","Signature SBS53 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.","SBS53 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Statistical association"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs54/","COSMIC | SBS54 - Mutational Signatures"," Germline variants contamination","Possible sequencing artefact. Possible contamination with germline variants.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS54 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Visual inspection of mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs55/","COSMIC | SBS55 - Mutational Signatures"," Possible sequencing artifact","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS55 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unable to validate mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs56/","COSMIC | SBS56 - Mutational Signatures"," Possible sequencing artifact","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS56 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unable to validate mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs57/","COSMIC | SBS57 - Mutational Signatures"," Possible sequencing artifact","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS57 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unable to validate mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs58/","COSMIC | SBS58 - Mutational Signatures"," Possible sequencing artifact","Potential sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS58 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unable to validate mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs59/","COSMIC | SBS59 - Mutational Signatures"," Possible sequencing artifact","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS59 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Unable to validate mutations"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs60/","COSMIC | SBS60 - Mutational Signatures"," Sequencing artifact","Possible sequencing artefact.","Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.","SBS60 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Alexandrov et al. 2020 Nature","https://doi.org/10.1038/s41586-020-1943-3","",""," Experimental validation"," Yes"
"https://cancer.sanger.ac.uk/signatures/sbs/sbs95/","COSMIC | SBS95 - Mutational Signatures"," Sequencing artifact","","Possible sequencing artefact.","SBS95 · GRCh37 · COSMIC v98","Mutational Signatures (v3.3 - June 2022)","Islam et al. 2022 Cell Genomics","https://doi.org/10.1016/j.xgen.2022.100179","",""," No associations or validations in external cohorts"," Yes"
