signature,class,subclass,aetiology,aetiology_long,comment,SignatureVersion,IdentificationStudy,IdentificationStudyURL,ExperimentalValidationStudy,ExperimentalValidationURL,ProposedAetiologySupport,ValidatedInOrthogonalTechniques,source page
SBS88,plants_and_microbes,colibactin, Colibactin exposure,"Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin.",SBS88 appears to be most active in the first decade of life. Strong preference for adenines at positions -3 and -4 (i.e. 5' of the mutation).,Mutational Signatures (v3.3 - June 2022),Lee-Six et al. 2019 Nature / Pleguezuelos-Manzano et al. 2020 Nature / Boot et al. 2020 Genome Research,https://doi.org/10.1038/s41586-019-1672-7,Pleguezuelos-Manzano et al. 2020 Nature,https://doi.org/10.1038/s41586-020-2080-8, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs88/
SBS89,unknown,unknown, Unknown,Unknown.,SBS89 appears to be most active in the first decade of life.,Mutational Signatures (v3.3 - June 2022),Lee-Six et al. 2019 Nature,https://doi.org/10.1038/s41586-019-1672-7,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs89/
SBS90,treatment_associated,chemotherapy_nitrogen_mustards, Duocarmycin exposure,Duocarmycin exposure.,"Very strong sequence context enrichment, with a preference for thymines up to 4bp 3’ of mutated thymines.",Mutational Signatures (v3.3 - June 2022),Boot et al. 2020 Genome Research / Priestley et al. 2019 Nature,https://doi.org/10.1101/gr.255620.119,Boot et al. 2019 BioRxiv,https://doi.org/10.1101/368753, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs90/
SBS91,unknown,unknown, Unknown,Unknown.,Distinctive extended sequence context. Enrichment in ALU elements.,Mutational Signatures (v3.3 - June 2022),Robinson et al. 2021 Nature Genetics,https://doi.org/10.1038/s41588-021-00930-y,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs91/
SBS92,environmental_mutagens,tobacco, Tobacco smoking,Associated with tobacco smoking.,"SBS92 activity was found increased in bladder tumours, as well as in normal urothelium of tobacco ever smokers compared to never smokers.",Mutational Signatures (v3.3 - June 2022),Lawson et al. 2020 Science,https://doi.org/10.1126/science.aba8347,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs92/
SBS93,unknown,unknown, Unknown,Unknown.,Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.,Mutational Signatures (v3.3 - June 2022),Islam et al. 2022 Cell Genomics,https://doi.org/10.1016/j.xgen.2022.100179,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs93/
SBS94,unknown,unknown, Unknown,Unknown.,Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.,Mutational Signatures (v3.3 - June 2022),Islam et al. 2022 Cell Genomics,https://doi.org/10.1016/j.xgen.2022.100179,,, Unknown, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs94/
SBS27,artefact,sequencing_artefact, Sequencing artifact,Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,https://doi.org/10.1038/ng.3441,,, Visual validation of mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs27/
SBS43,artefact,sequencing_artefact, Possible sequencing artifact,Unknown. Possible sequencing artefact.,Summary of the technical and experimental evidence available in the scientific literature regarding the validation of the mutational signature.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unable to validate mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs43/
SBS45,artefact,8-oxo-guanine, 8-oxo-guanine introduced during sequencing,Possible artefact due to 8-oxo-guanine introduced during sequencing.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,"Costello et al. 2013, Nucleic Acid Research",https://doi.org/10.1093/nar/gks1443, Experimental confirmation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs45/
SBS46,artefact,sequencing_artefact, Sequencing artifact (early releases of TCGA),Possible sequencing artefact.,Signature SBS46 was found commonly in colorectal cancers from early releases of TCGA (data released prior 2013).,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Not found in subsequence releases, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs46/
SBS47,artefact,sequencing_artefact, Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact.,SBS47 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs47/
SBS48,artefact,sequencing_artefact, Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact.,SBS48 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs48/
SBS49,artefact,sequencing_artefact, Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact.,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage.",Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs49/
SBS50,artefact,sequencing_artefact, Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact.,SBS50 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs50/
SBS51,artefact,sequencing_artefact, Possible sequencing artifact,Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unable to validate mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs51/
SBS52,artefact,sequencing_artefact, Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs52/
SBS53,artefact,sequencing_artefact, Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact.,Signature SBS53 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Statistical association, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs53/
SBS54,artefact,germline_contamination, Germline variants contamination,Possible sequencing artefact. Possible contamination with germline variants.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Visual inspection of mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs54/
SBS55,artefact,sequencing_artefact, Possible sequencing artifact,Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unable to validate mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs55/
SBS56,artefact,sequencing_artefact, Possible sequencing artifact,Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unable to validate mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs56/
SBS57,artefact,sequencing_artefact, Possible sequencing artifact,Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unable to validate mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs57/
SBS58,artefact,sequencing_artefact, Possible sequencing artifact,Potential sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unable to validate mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs58/
SBS59,artefact,sequencing_artefact, Possible sequencing artifact,Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Unable to validate mutations, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs59/
SBS60,artefact,sequencing_artefact, Sequencing artifact,Possible sequencing artefact.,,Mutational Signatures (v3.3 - June 2022),Alexandrov et al. 2020 Nature,https://doi.org/10.1038/s41586-020-1943-3,,, Experimental validation, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs60/
SBS95,artefact,sequencing_artefact, Sequencing artifact,Possible sequencing artefact.,Possible sequencing artefact.,Mutational Signatures (v3.3 - June 2022),Islam et al. 2022 Cell Genomics,https://doi.org/10.1016/j.xgen.2022.100179,,, No associations or validations in external cohorts, Yes,https://cancer.sanger.ac.uk/signatures/sbs/sbs95/
