signature,class,subclass,aetiology,aetiology_long,comment,signature_version,aetiology_support,source_page,signature_long,tissue_distribution,identification_study,first_included_in_cosmic,identification_ngs_technique,replicated_in_additional_studies,experimental_study,experimental_study_species
SBS28,dysfunctional_dna_replication,polymerase_mutations,POLE exonuclease domain mutation,Unknown,"SBS28 has similarities to SBS17b and these two signatures can be mistaken for one another. Signature SBS28 is found in most samples with SBS10a/SBS10b where it contributes very high numbers of mutations. In contrast, SBS28 contributes much smaller number of mutations in samples lacking SBS10a/SBS10b ",Mutational Signatures (v3.4 - October 2023),Experimental studies,https://cancer.sanger.ac.uk/signatures/sbs/,SBS28 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES & WGS,Yes,Hodel et al. 2020 Molecular Cell,Human
SBS29,environmental_mutagens,tobacco,Tobacco chewing,SBS29 has been found in cancer samples from individuals with a tobacco chewing habit,The pattern of C>A mutations in SBS29 appears different from the pattern of mutations due to tobacco smoking reflected by SBS4,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS29 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES,Yes,-,-
SBS30,dysfunctional_dna_repair,BER,BER deficiency,SBS30 is due to deficiency in base excision repair due to inactivating mutations in NTHL1,NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS30 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES & WGS,Yes,Drost et al. 2017 Science,Human
SBS31,treatment_associated,chemotherapy_platinum,Platinum chemotherapy,Prior chemotherapy treatment with platinum drugs,SBS31 exhibits a pattern of mutations similar to components of SBS35 and both may be due to platinum drug treatment,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS31 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Boot et al. 2018 Genome Research,v3,WES & WGS,Yes,Boot et al. 2018 Genome Research,Human
SBS32,treatment_associated,immunosuppression,Azathioprine exposure,Prior treatment with azathioprine to induce immunosuppression,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS32 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Inman et al. 2018 Nature Communications,v3,WES & WGS,Yes,-,-
SBS33,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS33 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS34,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS34 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS35,treatment_associated,chemotherapy_platinum,Platinum chemotherapy,Prior chemotherapy treatment with platinum drugs,SBS35 exhibits a pattern of mutations that encompasses SBS31 and both may be due to platinum drug treatment,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS35 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Boot et al. 2018 Genome Research,v3,WES & WGS,Yes,Boot et al. 2018 Genome Research,Human
SBS36,dysfunctional_dna_repair,BER,BER deficiency,"Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somatic MUTYH mutations","Similar to SBS18, which has been proposed to be due to reactive oxygen species induced DNA damage",Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS36 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Viel et al. 2017 EBioMedicine / Pilati et al. 2017 Journal of Pathology,v3,WES & WGS,Yes,Pilati et al. 2017 Journal of Pathology,Mouse
SBS37,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS37 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS38,environmental_mutagens,UV,UV light exposure (indirect effect),Unknown. Found only in ultraviolet light associated melanomas suggesting potential indirect damage from UV-light,NA,Mutational Signatures (v3.4 - October 2023),Co-occurrence with SBS7a/b,https://cancer.sanger.ac.uk/signatures/sbs/,SBS38 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS39,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS39 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS40a,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS40a · GRCh37 · COSMIC v100,"Identified in clear cell renal cell carcinomas, but can be attributed in many cancer types",Senkin et al. 2023 MedRxiv,v3.4,WGS,No,-,-
SBS40b,unknown,unknown,Unknown,Unknown,SBS40b activity is strongly associated with the age standardised incidence rate (ASR) of clear cell renal cell carcinoma. SBS40b activity also correlates with markers of reduced kidney function,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS40b · GRCh37 · COSMIC v100,Identified in clear cell renal cell carcinomas,Senkin et al. 2023 MedRxiv,v3.4,WGS,No,-,-
SBS40c,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS40c · GRCh37 · COSMIC v100,Identified in clear cell renal cell carcinomas,Senkin et al. 2023 MedRxiv,v3.4,WGS,No,-,-
SBS41,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS41 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS42,environmental_mutagens,haloalkanes,Haloalkanes exposure,Occupational exposure to haloalkanes,NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS42 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Mimaki et al. 2016 Carcinogenesis,v3,WES,Yes,Mimaki et al. 2016 Carcinogenesis,Salmonella typhimurium
SBS44,dysfunctional_dna_repair,MMR,MMR deficiency,Defective DNA mismatch repair,"SBS44 is one of seven mutational signatures associated with defective DNA mismatch repair and microsatellite instability (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS26",Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS44 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Drost et al. 2017 Science,v3,WES & WGS,Yes,Drost et al. 2017 Science,Human
SBS84,cytidine_deaminases,cytidine_deaminases,AID activity,Activity of activation-induced cytidine deaminase (AID),SBS84 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS84 · GRCh37 · COSMIC v100,Cancers of lymphoid origin,Kasar et al. 2015 Nature Communications,v3,WES & WGS,Yes,-,-
SBS85,cytidine_deaminases,cytidine_deaminases,AID activity,Indirect effects of activation-induced cytidine deaminase (AID) induced somatic mutagenesis in lymphoid cells,SBS85 is found in clustered mutations in the immunoglobulin gene and other regions in lymphoid cancers,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS85 · GRCh37 · COSMIC v100,Cancers of lymphoid origins,Kasar et al. 2015 Nature Communications,v3,WES & WGS,Yes,-,-
SBS86,treatment_associated,chemotherapy_unknown,Unknown chemotherapy,Unknown chemotherapy treatment,Mainly characterized by most C>G trinucleotide contexts except those flanked 3' by G. Enriched in hyperdiploid acute lymphoblastic leukaemia (ALL) cases,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS86 · GRCh37 · COSMIC v100,Found in relapsed ALL patients,Li et al. 2020 Blood,v3.1,WGS,No,-,-
SBS87,treatment_associated,chemotherapy_thiopurine,Thiopurine chemotherapy,"Thiopurine chemotherapy treatment, experimentally validated",NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS87 · GRCh37 · COSMIC v100,Found in relapsed acute lymphoblastic leukaemia (ALL) patients,Li et al. 2020 Blood,v3.1,WGS,No,Li et al. 2020 Blood,Human
SBS88,plants_and_microbes,colibactin,Colibactin exposure,"Exposure to E.coli bacteria carrying pks pathogenicity island, producing genotoxic compound colibactin",SBS88 appears to be most active in the first decade of life. Strong preference for adenines at positions -3 and -4 (i.e. 5' of the mutation),Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS88 · GRCh37 · COSMIC v100,"Mainly found in colorectal cancers, and normal and inflammatory bowel disease-affected colorectal epithelial cells, as well as in some samples derived from head and neck cancer, urinary tract cancer and oral squamous cell carcinoma",Lee-Six et al. 2019 Nature / Pleguezuelos-Manzano et al. 2020 Nature / Boot et al. 2020 Genome Research,v3.1,WES & WGS,Yes,Pleguezuelos-Manzano et al. 2020 Nature,Human
SBS89,unknown,unknown,Unknown,Unknown,SBS89 appears to be most active in the first decade of life,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS89 · GRCh37 · COSMIC v100,Found in normal colorectal epithelial cells,Lee-Six et al. 2019 Nature,v3.1,WGS,Yes,-,-
SBS90,treatment_associated,chemotherapy_nitrogen_mustards,Duocarmycin exposure,Duocarmycin exposure,"Very strong sequence context enrichment, with a preference for thymines up to 4bp 3’ of mutated thymines",Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS90 · GRCh37 · COSMIC v100,Found in breast and oesophagus metastatic cancers treated with duocarmycin-based antibody-drug conjugates,Boot et al. 2020 Genome Research / Priestley et al. 2019 Nature,v3.1,WGS,Yes,Boot et al. 2019 BioRxiv,Human
SBS91,unknown,unknown,Unknown,Unknown,Distinctive extended sequence context. Enrichment in ALU elements,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS91 · GRCh37 · COSMIC v100,SBS91 was identified in normal cells from the cerebral cortex and the oesophageal squamous epithelium,Robinson et al. 2021 Nature Genetics,v3.2,WGS,No,-,-
SBS92,environmental_mutagens,tobacco,Tobacco smoking,Associated with tobacco smoking,"SBS92 activity was found increased in bladder tumours, as well as in normal urothelium of tobacco ever smokers compared to never smokers",Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS92 · GRCh37 · COSMIC v100,Predominately found in bladder normal and neoplastic tissue,Lawson et al. 2020 Science,v3.2,WGS,Yes,-,-
SBS93,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS93 · GRCh37 · COSMIC v100,"SBS93 was almost exclusively identified in gastric cancers in the PCAWG dataset, and was also detected on oesophageal squamous cell carcinomas",Islam et al. 2022 Cell Genomics,v3.2,WGS,Yes,-,-
SBS94,unknown,unknown,Unknown,Unknown,NA,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS94 · GRCh37 · COSMIC v100,Identified on colorectal cancer samples,Islam et al. 2022 Cell Genomics,v3.2,WGS,No,-,-
SBS96,unknown,unknown,Unknown,Unknown,Originally found in Degasperi et al 2022 as SBS141,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS96 · GRCh37 · COSMIC v100,Detected in a small fraction of kidney cancers,Degasperi et al. 2022 Science,v3.4,WGS,Yes,-,-
SBS97,unknown,unknown,Unknown,Unknown,Found in Degasperi et al. 2022 as SBS129. This signature is dominated by C>T mutations and shows similarity to SBS7b. It is found to be a feature of skin and connective tissue cancers,Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS97 · GRCh37 · COSMIC v100,Found in a small fraction of skin cancers and sarcomas,Degasperi et al. 2022 Science,v3.4,WGS,Yes,-,-
SBS98,unknown,unknown,Unknown,Unknown,"Found in Degasperi et al. 2022 as SBS105. This signature is similar to SBS87 in ALL, which has been previously linked to thiopurine treatment but with C>T dominance",Mutational Signatures (v3.4 - October 2023),Unknown,https://cancer.sanger.ac.uk/signatures/sbs/,SBS98 · GRCh37 · COSMIC v100,"Found in a small fraction of bladder, breast, and kidney cancers",Degasperi et al. 2022 Science,v3.4,WGS,Yes,-,-
SBS99,treatment_associated,chemotherapy_nitrogen_mustards,Melphalan exposure,Exposure to melphalan treatment. Associations were found with patient samples that had prior exposure to melphalan and experimental validation was conducted on human cell lines with melphalan exposure,"Otherwise known as SBS-MM1 from Rustad et al. 2020 This signature was also detected in post-melphalan relapsed lymphomas (link to publication), and is associated with other post-melphalan therapy related myeloid and lymphoid signatures (link to publication). This signature was also found in a therapy-related bladder cancer in a patient previously exposed to melphalan for multiple myeloma (link to publication)",Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS99 · GRCh37 · COSMIC v100,Found in multiple myeloma and certain lymphomas,Rustad et al. 2020 Nature Communications,v3.4,WES & WGS,Yes,Rustad et al. 2020 Nature Communications,Human cell lines
SBS27,artefact,sequencing_artefact,Sequencing artifact,Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Visual validation of mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS27 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2015 Nature Genetics / Nik-Zainal et al. 2016 Nature,v2,WES,Yes,-,-
SBS43,artefact,sequencing_artefact,Possible sequencing artifact,Unknown. Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Unable to validate mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS43 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS45,artefact,8-oxo-guanine,8-oxo-guanine introduced during sequencing,Possible artefact due to 8-oxo-guanine introduced during sequencing,NA,Mutational Signatures (v3.4 - October 2023),Experimental confirmation,https://cancer.sanger.ac.uk/signatures/sbs/,SBS45 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,"Costello et al. 2013, Nucleic Acid Research",In vitro validation
SBS46,artefact,sequencing_artefact,Sequencing artifact (early releases of TCGA),Possible sequencing artefact,Signature SBS46 was found commonly in colorectal cancers from early releases of TCGA (data released prior 2013),Mutational Signatures (v3.4 - October 2023),Not found in subsequence releases,https://cancer.sanger.ac.uk/signatures/sbs/,SBS46 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES,Yes,-,-
SBS47,artefact,sequencing_artefact,Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact,SBS47 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS47 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS48,artefact,sequencing_artefact,Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact,SBS48 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS48 · GRCh37 · COSMIC v100,Not available,Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS49,artefact,sequencing_artefact,Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS49 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS50,artefact,sequencing_artefact,Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact,SBS50 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS50 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS51,artefact,sequencing_artefact,Possible sequencing artifact,Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Unable to validate mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS51 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS52,artefact,sequencing_artefact,Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS52 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS53,artefact,sequencing_artefact,Sequencing artifact (blacklisted cancer samples for poor quality),Possible sequencing artefact,Signature SBS53 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data,Mutational Signatures (v3.4 - October 2023),Statistical association,https://cancer.sanger.ac.uk/signatures/sbs/,SBS53 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS54,artefact,germline_contamination,Germline variants contamination,Possible sequencing artefact. Possible contamination with germline variants,NA,Mutational Signatures (v3.4 - October 2023),Visual inspection of mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS54 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS55,artefact,sequencing_artefact,Possible sequencing artifact,Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Unable to validate mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS55 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS56,artefact,sequencing_artefact,Possible sequencing artifact,Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Unable to validate mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS56 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS57,artefact,sequencing_artefact,Possible sequencing artifact,Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Unable to validate mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS57 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS58,artefact,sequencing_artefact,Possible sequencing artifact,Potential sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Unable to validate mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS58 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
SBS59,artefact,sequencing_artefact,Possible sequencing artifact,Possible sequencing artefact,NA,Mutational Signatures (v3.4 - October 2023),Unable to validate mutations,https://cancer.sanger.ac.uk/signatures/sbs/,SBS59 · GRCh37 · COSMIC v100,"Numbers of mutations per megabase attributed to the mutational signature across the cancer types in which the signature was found. Each dot represents an individual sample and only samples where the signature is found are shown. The number of mutations per megabase was calculated by assuming that an average whole-exome has 30 Mb with sufficient coverage, whereas an average whole-genome has 2,800 Mb with sufficient coverage",Alexandrov et al. 2020 Nature,v3,WES & WGS,Yes,-,-
